contract_address,TX1 Trace Length,TX1 SSTORE Count,TX1 CALL Count,TX2 Trace Length,TX2 SSTORE Count,TX2 CALL Count,TX3 Trace Length,TX3 SSTORE Count,TX3 CALL Count,TX1 Original Trace Length,TX1 Original SSTORE Count,TX1 Original CALL Count,TX2 Original Trace Length,TX2 Original SSTORE Count,TX2 Original CALL Count,TX3 Original Trace Length,TX3 Original SSTORE Count,TX3 Original CALL Count,Tx1 Trace Diff ( original - patched),Tx2 Trace Diff,Tx3 Trace Diff,Tx1 SSTORE Diff,Tx2 SSTORE Diff,Tx3 SSTORE Diff,Tx1 Call Diff,Tx2 Call Diff,Tx3 Call Diff
0x1556e8043903A020fcdc2B262189a4c510dd673D,126,2,2,126,4,2,126,0,0,129,4,2,126,4,2,126,0,0,3,0,0,2,0,0,0,0,0
0xFA2283f212f2579Af943179FAC2e0A5cCFCC1D3f,117,1,2,122,2,2,122,0,0,125,2,2,122,2,2,122,0,0,8,0,0,1,0,0,0,0,0
0x6690384822afF0B65fE0C21a809F187F5c3fcdd8,121,1,1,118,2,2,74,0,0,127,2,2,118,2,2,74,0,0,6,0,0,1,0,0,1,0,0
0x3133b4F4dcffc083724435784fEFAD510FA659c6,430,2,2,432,3,3,404,0,1,435,3,2,432,3,3,404,0,1,5,0,0,1,0,0,0,0,0
0xC5c9fB6223A989208Df27dCEE33fC59ff5c26fFF,80,2,1,80,3,2,80,0,0,83,3,2,80,3,2,80,0,0,3,0,0,1,0,0,1,0,0
0xf1EC0BC9E877eC1BC20262c33512601CB4979c1d,138,1,2,140,3,2,70,0,1,143,3,2,140,3,2,70,0,1,5,0,0,2,0,0,0,0,0
0x9b36C7c1C5ee9B44788D95b11DE3019f4c0c715e,114,1,2,118,2,2,72,0,1,121,2,2,118,2,2,72,0,1,7,0,0,1,0,0,0,0,0
0x4fd7043D2C6983fa33Ba1C1059E27ef7552f947b,81,1,2,82,3,3,81,0,1,84,3,2,82,3,3,81,0,1,3,0,0,2,0,0,0,0,0
0x7C47790Eb6386601Af4B08064A6Dfef07f403D55,206,3,0,203,4,3,118,0,0,207,4,2,203,4,3,118,0,0,1,0,0,1,0,0,2,0,0
0x2bE3B3c70cb6180a7015586B9c37819C7d29CbC6,119,1,2,118,2,3,72,0,0,121,2,2,118,2,3,72,0,0,2,0,0,1,0,0,0,0,0
0x959Fb43EF08F415da0AeA39BEEf92D96f41E41b3,1919,2,2,1919,3,2,1882,0,0,1922,3,2,1919,3,2,1882,0,0,3,0,0,1,0,0,0,0,0
0xa0D7cf9F3828049cEFf9D6746b6906F157DE3b38,63,1,2,68,3,2,68,0,0,70,3,2,68,3,2,68,0,0,7,0,0,2,0,0,0,0,0
0xfFEE087852cb4898e6c3532E776e68BC68b1143B,48,3,2,50,5,3,50,0,0,52,5,2,50,5,3,50,0,0,4,0,0,2,0,0,0,0,0
0x22931153614F5613d1bd9c232A646ade27A007aF,71,2,2,69,4,2,64,0,0,75,4,2,69,4,2,64,0,0,4,0,0,2,0,0,0,0,0
0xe95Ebce2B02Ee07dEF5Ed6B53289801F7Fc137A4,420,2,3,422,4,3,375,0,0,425,4,3,422,4,3,375,0,0,5,0,0,2,0,0,0,0,0
0x26CBC7008cD879f4B63B69a915378f2D9b17bBF0,159,1,2,158,2,3,117,0,0,160,2,2,158,2,3,117,0,0,1,0,0,1,0,0,0,0,0
0x1e387e1f9f94F16078AB3AbB5a099ae4d49C1B2d,278,1,1,281,2,3,281,0,0,286,2,2,281,2,3,281,0,0,8,0,0,1,0,0,1,0,0
0x37CC99AAbb9F6e1B2A37D95Cec66B34133E558a3,67,1,2,65,3,3,34,0,0,68,3,2,65,3,3,34,0,0,1,0,0,2,0,0,0,0,0
0x85543Da0DB5CF305f0522f0be2Edaa105C72b0cf,73,1,2,74,3,2,74,0,0,76,3,2,74,3,2,74,0,0,3,0,0,2,0,0,0,0,0
0x4A974495E20A8E0f5ce1De59eB15CfffD19Bcf8d,273,1,2,270,3,3,83,0,1,274,3,2,270,3,3,83,0,1,1,0,0,2,0,0,0,0,0
0x579e0E70A1eb943cfF62B622a8ABCC8a9696AA88,91,1,2,90,3,3,67,0,0,93,3,2,90,3,3,67,0,0,2,0,0,2,0,0,0,0,0
0x986Eb51E67e154901ff9B482835788B8f3054076,86,1,2,87,3,2,69,0,0,91,3,2,87,3,2,69,0,0,5,0,0,2,0,0,0,0,0
